"id","calories","description","image_url","ingredients","name","price","product_type","order_id","restaurant_id"
"1664","550","Delizioso kebab preparato con succulento pollo grigliato, insalata fresca, pomodoro, cipolla, il tutto avvolto in morbido pane pita e accompagnato da salsa allo yogurt.",NULL,"Pollo, insalata, pomodoro, cipolla, salsa allo yogurt, pane pita","Kebab di Pollo","8.99","FOOD",NULL,NULL
"1665","620","Gustoso kebab preparato con carne di agnello marinata, lattuga croccante, pomodoro fresco, cipolla, peperoncini, il tutto avvolto in pane pita.",NULL,"Agnello, lattuga, pomodoro, cipolla, peperoncini, pane pita","Kebab di Agnello","10.49","FOOD",NULL,NULL
"1666","480","Gustoso kebab vegetariano preparato con falafel croccante, insalata fresca, pomodoro, cipolla, peperoncini, il tutto avvolto in morbido pane pita.",NULL,"Falafel, insalata, pomodoro, cipolla, peperoncini, pane pita","Kebab Vegetariano","7.99","FOOD",NULL,NULL
"1667","680","Kebab misto con succulento pollo, tenero agnello, salsiccia saporita, insalata fresca, pomodoro, cipolla, il tutto avvolto in pane pita.",NULL,"Pollo, agnello, salsiccia, insalata, pomodoro, cipolla, pane pita","Kebab Misto","9.99","FOOD",NULL,NULL
"1668","590","Delizioso kebab preparato con tenera carne di manzo, lattuga croccante, pomodoro fresco, cipolla, peperoncini, il tutto avvolto in morbido pane pita.",NULL,"Manzo, lattuga, pomodoro, cipolla, peperoncini, pane pita","Kebab di Manzo","11.99","FOOD",NULL,NULL
"562","140","La classica Coca Cola, una bibita rinfrescante e gustosa perfetta per accompagnare il tuo pasto.",NULL,"Acqua, Zucchero, Anidride carbonica, Coloranti, Aromi naturali e artificiali, Acidificante","Coca Cola","1.99","DRINK",NULL,"176"
"563","0","Acqua fresca e pura, la scelta perfetta per chi desidera una bevanda senza calorie e senza zuccheri aggiunti.",NULL,"Acqua","Acqua","0.99","DRINK",NULL,"176"
"564","150","La Fanta, una bevanda frizzante e aromatizzata all'arancia, perfetta per chi ama i sapori dolci e frizzanti.",NULL,"Acqua, Zucchero, Anidride carbonica, Coloranti, Aromi naturali e artificiali, Acidificante","Fanta","1.99","DRINK",NULL,"176"
"565","140","La Sprite, una bibita gassata e dissetante con un delizioso gusto di limone-lime, ideale per rinfrescarsi durante la giornata.",NULL,"Acqua, Zucchero, Anidride carbonica, Aromi naturali e artificiali, Acidificante","Sprite","1.99","DRINK",NULL,"176"
"566","150","Una birra fresca e leggera, perfetta per accompagnare i tuoi pasti al McDonald's con un tocco di raffinatezza.",NULL,"Malto d'orzo, Luppolo, Acqua","Birra","3.49","DRINK",NULL,"176"
