"id","calories","description","image_url","ingredients","name","price","product_type","order_id","restaurant_id"
"152","410","Un panino delizioso con petto di pollo croccante impanato, lattuga croccante e maionese, servito in un morbido panino con semi di sesamo.",NULL,"Pollo, Lattuga, Maionese","Mc Chicken","4.99","FOOD",NULL,"152"
"153","550","Il celebre panino con due sottili hamburger di manzo, lattuga croccante, formaggio fuso, salsa speciale, cipolle e cetrioli, servito in un panino con semi di sesamo.",NULL,"Pane con semi di sesamo, carne di manzo, lattuga, formaggio fuso, salsa speciale, cipolla, cetrioli","Big Mac","3.99","FOOD",NULL,"152"
"154","390","Un gustoso panino con filetto di merluzzo impanato, formaggio fuso, salsa tartara e lattuga, servito in un morbido panino con semi di sesamo.",NULL,"Pane con semi di sesamo, filetto di merluzzo impanato, formaggio fuso, salsa tartara, lattuga","Filet-O-Fish","4.29","FOOD",NULL,"152"
"155","300","Un classico cheeseburger con hamburger di manzo, formaggio fuso, ketchup e cetrioli, servito in un morbido panino con semi di sesamo.",NULL,"Pane con semi di sesamo, hamburger di manzo, formaggio fuso, ketchup, cetrioli","Cheeseburger","2.49","FOOD",NULL,"152"
"156","390","Un panino con due gustosi hamburger di manzo, formaggio fuso, ketchup, senape e cipolla, servito in un morbido panino con semi di sesamo.",NULL,"Pane con semi di sesamo, due hamburger di manzo, formaggio fuso, ketchup, senape, cipolla","McDouble","2.79","FOOD",NULL,"152"
"157","250","Sei pezzi di teneri petti di pollo avvolti in un'impanatura croccante, perfetti per uno spuntino o come accompagnamento.",NULL,"Petti di pollo, impanatura croccante","Chicken McNuggets (6 pezzi)","3.99","FOOD",NULL,"152"
"158","540","Un panino succulento con un grande hamburger di manzo da 1/4 di libbra, formaggio fuso, ketchup e cetrioli, servito in un morbido panino con semi di sesamo.",NULL,"Pane con semi di sesamo, hamburger di manzo da 1/4 di libbra, formaggio fuso, ketchup, cetrioli","Quarter Pounder with Cheese","4.49","FOOD",NULL,"152"
"159","430","Un panino generoso con due hamburger di manzo, formaggio fuso, ketchup e cetrioli, servito in un morbido panino con semi di sesamo.",NULL,"Pane con semi di sesamo, due hamburger di manzo, formaggio fuso, ketchup, cetrioli","Double Cheeseburger","3.79","FOOD",NULL,"152"
"160","520","Un panino delizioso con petto di pollo croccante, bacon, formaggio fuso, lattuga e maionese, servito in un morbido panino con semi di sesamo.",NULL,"Pane con semi di sesamo, petto di pollo croccante, bacon, formaggio fuso, lattuga, maionese","Crispy McBacon","4.79","FOOD",NULL,"152"
"161","230","Patatine fritte croccanti e deliziose, preparate con patate di alta qualità e cotte nell'olio, poi leggermente salate per un sapore irresistibile.",NULL,"Patate, Olio, Sale","Patatine Fritte","2.29","FOOD",NULL,"152"
"162","140","La classica Coca Cola, una bibita rinfrescante e gustosa perfetta per accompagnare il tuo pasto.",NULL,"Acqua, Zucchero, Anidride carbonica, Coloranti, Aromi naturali e artificiali, Acidificante","Coca Cola","1.99","DRINK",NULL,"152"
"163","0","Acqua fresca e pura, la scelta perfetta per chi desidera una bevanda senza calorie e senza zuccheri aggiunti.",NULL,"Acqua","Acqua","0.99","DRINK",NULL,"152"
"164","150","La Fanta, una bevanda frizzante e aromatizzata all'arancia, perfetta per chi ama i sapori dolci e frizzanti.",NULL,"Acqua, Zucchero, Anidride carbonica, Coloranti, Aromi naturali e artificiali, Acidificante","Fanta","1.99","DRINK",NULL,"152"
"165","140","La Sprite, una bibita gassata e dissetante con un delizioso gusto di limone-lime, ideale per rinfrescarsi durante la giornata.",NULL,"Acqua, Zucchero, Anidride carbonica, Aromi naturali e artificiali, Acidificante","Sprite","1.99","DRINK",NULL,"152"
"166","150","Una birra fresca e leggera, perfetta per accompagnare i tuoi pasti al McDonald's con un tocco di raffinatezza.",NULL,"Malto d'orzo, Luppolo, Acqua","Birra","3.49","DRINK",NULL,"152"
"167","120","Un vino pregiato, perfetto per chi desidera accompagnare il pasto con una bevanda elegante e ricercata.",NULL,"Uva","Vino","4.99","DRINK",NULL,"152"
"168","80","Un tè nero rinfrescante, dolcemente aromatizzato con succo di limone, ideale per una pausa dissetante durante la giornata.",NULL,"Tè nero, Acqua, Zucchero, Succo di limone","Tè Freddo al Limone","1.79","DRINK",NULL,"152"
"169","320","Un shake cremoso e gustoso preparato con gelato alla fragola, latte e decorato con panna montata, un vero piacere per il palato.",NULL,"Gelato alla fragola, Latte, Panna montata","MilkShake alla Fragola","2.99","DRINK",NULL,"152"
